event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX takes PersonY to jail,"[""has a record"", ""has to pay fines"", ""none"", ""Person y's Shoulders slump"", ""Person y is viewed as bad influence""]","[""detained"", ""guilty"", ""ashamed"", ""regretful."", ""sad"", ""angry"", ""afraid""]","[""to escape"", ""to call for help"", ""to cry"", ""to tell PersonX they don't want to go to jail"", ""to give PersonX all the information they want"", ""to get PersonX out of jail"", ""to bring PersonX to trial""]","[""dominant"", ""powerful"", ""proud"", ""brave"", ""brave"", ""dedicated"", ""Courageous"", ""Bold""]","[""yelled at"", ""body is injured"", ""PersonX serves justice"", ""PersonX follows orders"", ""Transports/moves self"", ""Is affected by person y's presence""]","[""to keep persony from committing a crime"", ""to save other people."", ""none""]","[""to handcuff PersonY"", ""to drive to the jail"", ""to have caught PersonY doing something wrong"", ""to handcuff PersonY"", ""to arrest PersonY"", ""to put PersonY in the car""]","[""accomplished"", ""angry"", ""satisfied""]","[""to find another person to arrest"", ""to go home"", ""to ask PersonY questions"", ""to call PersonY's parents"", ""to fill out paperwork"", ""to book PersonX""]","[""takes"", ""jail""]",trn
PersonX takes PersonY to school,"[""gets taught in school"", ""meets new friends"", ""is late"", ""gets there on time"", ""becomes educated"", ""enjoys recess time""]","[""happy to be taken care of"", ""love"", ""appreciation"", ""grumpy""]","[""to go to class"", ""to get done with school"", ""run inside school"", ""undo seatbelt""]","[""helpful"", ""useful"", ""nice"", ""hard working"", ""responsible"", ""caring"", ""considerate"", ""kind""]","[""gets thanked"", ""remembers something they forgot"", ""none"", ""returns home"", ""goes to work"", ""gets something to eat"", ""goes back to bed""]","[""to be a responsible person"", ""to be helpful"", ""to be responsible"", ""spend time away from their kids"", ""educate their child""]","[""to get ready themself"", ""to drive to their house"", ""drive a car"", ""learn address of school""]","[""like a responsible person"", ""satisfied"", ""accomplished"", ""good"", ""relieved""]","[""to go to class"", ""to take their lunch break"", ""drive away"", ""go to work""]","[""takes"", ""school""]",trn
PersonX takes PersonY to see,"[""To see"", ""None"", ""None""]","[""jealous"", ""gratified"", ""surprised""]","[""to take medicine"", ""to sleep"", ""none"", ""To see who they went to visit"", ""To socialise"", ""to go home"", ""to continue hanging out with X""]","[""adventurous"", ""curious"", ""friendly"", ""excited"", ""nice"", ""caring""]","[""none""]","[""to show off his assets"", ""to show person y something"", ""find enjoyment""]","[""to find out where Y is"", ""ask Y to come with him"", ""order two tickets"", ""pick up PersonY"", ""To get directions"", ""To travel to destination"", ""none""]","[""proud"", ""helpful"", ""pleased""]","[""go back to home"", ""to take rest"", ""throw away trash"", ""take PersonY home"", ""To explore destination"", ""To get to business"", ""spend more time with Y"", ""take Y home""]","[""takes"", ""see""]",trn
PersonX takes PersonY to see a doctor,"[""get checked by doctor"", ""relief from being sick"", ""Has sense of being loved"", ""Health improves"", ""is asked questions"", ""gets a test""]","[""loved"", ""grateful"", ""grateful""]","[""to be treated"", ""to be in good health"", ""give medication"", ""ask for details"", ""to say thank you"", ""to get a ride home after""]","[""worried"", ""concerned"", ""helpful"", ""reliable""]","[""get appointment"", ""get medicine"", ""Prevents spread of misery or disease"", ""Travels"", ""hears bad news"", ""gets bored waiting""]","[""to make sure hes okay."", ""helpful"", ""to help them recover""]","[""to be asked by PersonY"", ""to have a car"", ""get in car"", ""witness an emergency"", ""pick the person up"", ""go to the doctors office""]","[""scared"", ""satisfied"", ""helpful"", ""helpful""]","[""to be helpful"", ""for PersonY to be healthy"", ""talk to doctor"", ""describe incident"", ""wait for the person"", ""take the person home"", ""go home""]","[""takes"", ""see""]",trn
PersonX takes PersonY to the airport,"[""board airplane"", ""go through security"", ""deliver your things"", ""he goes on his flight""]","[""happy"", ""happy because they're going on a trip"", ""none""]","[""to go on a trip"", ""to catch plane"", ""to say goodbye to PersonX"", ""to enter the airport"", ""to check his things in"", ""to get on a plane""]","[""helpful"", ""sociable"", ""helpful"", ""generous"", ""helpful"", ""caring""]","[""cries"", ""hugs"", ""he asks to take it"", ""helps him with his things""]","[""help"", ""none"", ""to helpful""]","[""none"", ""to pick up PersonY"", ""to wait for PersonY"", ""to know personY"", ""to have a car""]","[""positive"", ""sad because x with miss person when they're on vacation"", ""responsible""]","[""for PersonY to catch their flight"", ""to show helpfulness"", ""to see PersonY go"", ""to say goodbye to PersonY"", ""to say bye to personY"", ""to go somewhere else""]","[""takes"", ""airport""]",trn
PersonX takes PersonY to the animal shelter,"[""arrives at destination"", ""is able to conduct intended busines"", ""Person y is transported"", ""Person y is able to seek care for animal"", ""conveys gratitude"", ""says \""thank you\""""]","[""glad that a friend could help them."", ""grateful"", ""happy to join personx to the shelter.""]","[""to enjoy the opportunity"", ""to be thankful to person X"", ""a dog"", ""go home"", ""to go out for meal"", ""to feed animals too"", ""a new puppy"", ""a new cat""]","[""supportive"", ""amiable"", ""sad"", ""regretful"", ""kind"", ""caring""]","[""returns home"", ""loses gas in car"", ""Person x sees animals"", ""Person x needs to wait for person y to do what needa to be done"", ""drives PersonY"", ""helps PersonY""]","[""to be helpful"", ""to be helpful"", ""to adopt an animal.""]","[""to go to person Y house"", ""to have a vehicle"", ""get in the car"", ""drive"", ""to go out with y"", ""to plan for the trip"", ""none""]","[""happy that they helped."", ""helpful"", ""happy if he has found a pet.""]","[""to spend quality time with person Y"", ""to know more about animal shelter"", ""to help them find a dog"", ""get a dog"", ""to take photographs with y"", ""to pets some animal"", ""to get animal cared for"", ""to find a new pet for persony""]","[""takes"", ""animal""]",trn
PersonX takes PersonY to the bathroom,"[""uses the toilet"", ""gets cleaned up"", ""none""]","[""grateful"", ""embarrassed"", ""grateful"", ""thankful""]","[""to go back to bed if ill"", ""to go back to school if in kindergarten."", ""to remove their clothes"", ""to pick up the soap""]","[""helpful"", ""caring"", ""helpful"", ""capable"", ""friendly"", ""helpful""]","[""gets a thank you"", ""closes the door"", ""thanked"", ""looked at funny""]","[""none"", ""to be helpful"", ""to be helpful""]","[""none"", ""to pick up PersonY"", ""to talk to PersonY""]","[""helpful"", ""happy"", ""glad"", ""helping""]","[""to help Persony back to bed if person y is sick"", ""to take person y back to the kindergarten room"", ""to close the bathroom door"", ""to open the shower tap""]","[""takes"", ""bathroom""]",trn
PersonX takes PersonY to the beach,"[""sweats"", ""sunburned"", ""PersonY follows PersonX"", ""walks on sand"", ""gets sand on their feet"", ""sweats from hot sun""]","[""happy"", ""joyful"", ""relaxed""]","[""to thank person X"", ""to go home"", ""to shower"", ""to relax"", ""to apply aloe to a sunburn"", ""to thank PersonX"", ""to wade in shallow water"", ""to walk along the beach"", ""to sit under umbrella""]","[""nice"", ""considerate"", ""Kind"", ""Social""]","[""sweats"", ""sunburned"", ""makes sure PersonY is following him"", ""looks at map"", ""none""]","[""to make persony happy"", ""to cherish the day"", ""want to feel water""]","[""to ask person Y for a convenient time to go to the beach"", ""to arrange a mode of transport to go to the beach."", ""to meet PersonY"", ""to drive to the beach"", ""to bike to the beach"", ""to walk to the beach"", ""to ask PersonY to go to beach"", ""to agree on day and time for pick-up"", ""to drive car to PersonY's home"", ""to drive car to beach""]","[""happy with themselves"", ""satisfied"", ""excited"", ""happy""]","[""to have a cup of coffee at the bea ch"", ""to swim in water for some time"", ""to shower"", ""to relax"", ""to apply aloe to a sunburn"", ""to sunbathe"", ""to swim"", ""to build sand castles"", ""to eat fast food""]","[""takes"", ""beach""]",trn
PersonX takes PersonY to the circus,"[""laughs"", ""becomes grateful towards personX"", ""PersonY is gracious toward PersonX"", ""PersonY screeches in joy"", ""becomes indebted to PersonX"", ""smiles""]","[""grateful"", ""happy"", ""happy""]","[""to talk to their friends about it"", ""to go again!"", ""to have fun"", ""to see animals"", ""go home"", ""sleep""]","[""Entertained"", ""Ready"", ""Kind"", ""Friendly"", ""generous"", ""capable""]","[""gets thanked"", ""gets a hug"", ""PersonX is thanked"", ""PersonX loses money"", ""has less money"", ""smiles""]","[""to cheer them up"", ""to laugh"", ""to have a good time""]","[""to buy tickets"", ""to drive"", ""to find out were the circus is"", ""to buy tickets to the circus"", ""money"", ""a car""]","[""happy"", ""silly"", ""entertained""]","[""to ask PersonY what they thought"", ""to tell all their friends"", ""to impress persony"", ""to get some loving from persony"", ""to go home"", ""sleep""]","[""takes"", ""circus""]",trn
PersonX takes PersonY to the dentist,"[""none"", ""PersonY gets their teeth cleaned"", ""PersonY's mouth becomes sore"", ""teeth are clean"", ""cavity is fixed""]","[""nervous""]","[""to give PersonX oral health advice"", ""to recommend another appointment"", ""to keep their mouth shut"", ""never eat candy again""]","[""helpful"", ""kind"", ""responsible"", ""concerned"", ""helpful"", ""responsible""]","[""to takes to the dentist"", ""to dentist clean the teeth"", ""none"", ""none""]","[""to make sure someone's teeth are healthy""]","[""to make a dentist appointment"", ""to drive to the dentist"", ""to book an appointment with the dentist"", ""ask PersonY what the problem is"", ""to ask PersonY to gargle with salt and warm water""]","[""accomplished""]","[""to get PersonY a cleaning"", ""to get PersonY an operation"", ""to get PersonY a filling"", ""to make a follow up appointment"", ""to take PersonY back"", ""to read a magazine in the dentists office"", ""to ask the dentist what the problem is"", ""to buy some medicine for PersonY""]","[""takes"", ""dentist""]",trn
PersonX takes PersonY to the doctor,"[""tells the doctor what happens"", ""faints at the doctors office"", ""they get to see the doctor"", ""they get care from the doctor"", ""get's taken care of"", ""needs to get rest""]","[""thankful"", ""healthy"", ""sick"", ""nothing""]","[""to have the appointment"", ""to go home"", ""to say thanks"", ""to say goodbye""]","[""helpful"", ""caring"", ""helpful"", ""caring"", ""helpful"", ""generous""]","[""asks Doctor questions"", ""buys medication for PersonY"", ""they sit in the waiting room"", ""they talk to personY"", ""wants to know they are ok"", ""has to do paperwork""]","[""to be helpful"", ""to be be kind"", ""to feel useful"", ""to be helpful""]","[""to make an appointment"", ""to pick them up"", ""to get their keys"", ""to start the car""]","[""satisfied"", ""relieved"", ""sad""]","[""to make sure they are ok"", ""to take them home"", ""to go home"", ""to gas up the car""]","[""takes"", ""doctor""]",trn
PersonX takes PersonY to the doctor 's office,"[""gets unexpected help since his car is broken"", ""gets to the doctor's office on time""]","[""scared""]","[""to thank PersonX"", ""to work with PersonX"", ""to get better"", ""to thank PersonX"", ""to say thank you"", ""to receive medical care""]","[""caring"", ""supportive"", ""concerned"", ""worried"", ""caring"", ""loving""]","[""gets PersonY to an appointment on time"", ""becomes late to work""]","[""to make sure hes okay.""]","[""to make an appointment"", ""to arrange with PersonY"", ""to drive to PersonY's house"", ""to pick up PersonY"", ""pick the person up"", ""find out how to get to the doctor's office""]","[""worried.""]","[""to ask the doctor questions"", ""to follow up"", ""to wait for PersonY"", ""to hope PersonY gets better"", ""wait for the person"", ""drive the person home""]","[""takes"", ""doctor""]",trn
PersonX takes PersonY to the emergency room,"[""is examined"", ""receives treatment"", ""is diagnosed"", ""receives medication"", ""PersonY gets medical attention"", ""PersonY has to pay the bill""]","[""medically cared for"", ""loved"", ""grateful"", ""grateful""]","[""get treatment"", ""stop sufferings"", ""to wait for the doctor"", ""to hope for the best"", ""See a medical proffessional"", ""Have there ailments treated""]","[""responsible"", ""careful"", ""concerned"", ""Diligent"", ""Anxious"", ""Distressed"", ""caring"", ""friendly""]","[""sits in waiting room"", ""paces"", ""gets thanked"", ""answers questions"", ""none""]","[""to help persony"", ""persony to get better"", ""to be helpful"", ""to be a good samaritan""]","[""see the accident"", ""hear the problem"", ""to get PersonY"", ""to bring PersonY to the car"", ""Have a way to travel"", ""Get Y in the vehicle""]","[""panicked"", ""exhausted"", ""happy"", ""like a hero""]","[""call staff"", ""register patient"", ""to wait for the doctor"", ""to hope for the best"", ""To make sure Y is alright"", ""To make it to the hospital fast""]","[""takes"", ""emergency""]",trn
PersonX takes PersonY to the er,"[""gets examined"", ""takes medicine"", ""feels better"", ""is admitted"", ""Gets treated by doctor"", ""Fills prescription""]","[""grateful"", ""thankful"", ""anxious""]","[""help"", ""to feel better"", ""lay down and get better."", ""Tell the doctors what's been wrong."", ""talk to personx"", ""interact with personx""]","[""worried"", ""protective"", ""responsible"", ""humanitarian"", ""heroic"", ""helpful""]","[""none"", ""Talks to doctor"", ""Waits for PersonY""]","[""none"", ""to help a friend""]","[""a car"", ""shoes"", ""To check for a pulse."", ""to ask them if they need to go to the ER."", ""to prepare persony for transport"", ""get persony around to leave""]","[""helpful"", ""nervous"", ""scared""]","[""to help"", ""to save them"", ""Wait to see if their friend is getting better."", ""See if they need to get medicine."", ""check on persony"", ""console persony""]","[""takes"", ""er""]",tst
PersonX takes PersonY to the game,"[""laughs"", ""cheers""]","[""happy"", ""elated"", ""excited"", ""disgusted"", ""happy""]","[""to watch the game"", ""to cheer on their team"", ""to wave a banner for their team""]","[""generous"", ""thoughtful"", ""social"", ""kind"", ""friendly"", ""inclusive""]","[""pays bill"", ""controls persony""]","[""to spend time with someone"", ""to spend time with"", ""to support a team"", ""to have fun"", ""persony to watch it""]","[""to check the time the game is on"", ""to make plans with other person to pick them up"", ""to drive or walk to other person's house to meet them"", ""to travel to the game""]","[""happy"", ""elated"", ""excited"", ""disgusted"", ""happy""]","[""to go into the grounds and find their seats"", ""to purchase refreshments for game""]","[""takes"", ""game""]",trn
PersonX takes PersonY to the hospital,"[""gets treatment"", ""undergoes surgery"", ""dies"", ""regains health"", ""gets surgery"", ""takes medication"", ""gets better"", ""gets worse""]","[""thankful"", ""obliged"", ""healthy"", ""sick"", ""relieved"", ""helped""]","[""get help"", ""rest"", ""to thank PersonX"", ""to meet a doctor"", ""To be healed"", ""To avoid severe injury or death""]","[""thoughtful"", ""considerate"", ""helpful"", ""responsible"", ""selfless"", ""helpful"", ""concerned"", ""worried""]","[""none"", ""talks to doctor"", ""waits for pickup"", ""worries about PersonY"", ""gets delivered news by the doctor""]","[""to be helpful"", ""to be dutiful"", ""to be helpful"", ""to support someone""]","[""a car"", ""clothes"", ""to get in the car"", ""to help PersonY in the car"", ""Get Y in the car"", ""Get directions""]","[""relieved"", ""relieved"", ""sad"", ""concerned"", ""relieved"", ""worried""]","[""to see if they are okay"", ""talk to the doctors"", ""to wait for results"", ""to go home"", ""To keep up on Y's status"", ""To stay with Y's""]","[""takes"", ""hospital""]",trn
PersonX takes PersonY to the house,"[""PersonY frowns as the two become lost at night"", ""PersonY experiences claustrophobia and begins to sweat"", ""breathes a sigh of relief"", ""invites personx in"", ""gets attacked"", ""gets patted on back""]","[""happy"", ""happy, safe""]","[""none"", ""none"", ""to say thanks"", ""to back to their homes""]","[""helpful"", ""friendly"", ""affable"", ""good-natured"", ""friendly"", ""sociable""]","[""PersonX exercises his brain in navigating to the house"", ""PersonX strains his eyesight in driving at night to the house"", ""none"", ""gets called in"", ""gets offered beverage""]","[""to cook some pizza for him"", ""to make sure person y is safe""]","[""to pick up PersonY"", ""to pick PersonY up from somewhere"", ""none"", ""to get person Y's consent"", ""to have a vehicle to take person Y""]","[""intrigued"", ""reassured""]","[""to drop personY off and go elsewhere"", ""to ask PersonY if they want to stop somewhere else"", ""to be with others"", ""to plan an event"", ""to give person Y something to drink"", ""to say thanks for coming""]","[""takes"", ""house""]",trn
PersonX takes PersonY to the library,"[""arrives at the library"", ""Is asked for gas money by PersonX""]","[""happy to be included"", ""befriended"", ""happy"", ""grateful""]","[""to play in the park"", ""to get a toy at the store"", ""to visit library"", ""have transportation"", ""To thank personx"", ""to go inside""]","[""studious"", ""intelligent"", ""helpful"", ""maternal"", ""helpful"", ""generous""]","[""Has to pay for gas"", ""is thanked""]","[""to get a good grade"", ""to score a sweet date"", ""to help with a school report"", ""to help person y get around because they're leg is broken"", ""to show it to the other person""]","[""to gather up the books"", ""to find out the hours for the library"", ""has a car"", ""a passender"", ""To pick up persony"", ""to drive to the library""]","[""enthusiastic"", ""proud"", ""responsible"", ""happy""]","[""to stop at the park"", ""to go to the store"", ""for PersonY to get to library"", ""to be generous"", ""to say goodbye"", ""to drive away""]","[""takes"", ""library""]",trn
PersonX takes PersonY to the mall,"[""yelled at"", ""gets tired"", ""none""]","[""happy"", ""grateful"", ""wanted"", ""responsible, generous""]","[""none"", ""to go shopping with PersonX"", ""to have fun with PersonX"", ""to shop"", ""to have fun""]","[""helpful"", ""friendly"", ""helpful"", ""friendly"", ""social"", ""caring""]","[""gets lost"", ""gets rushed"", ""sees clothes"", ""gets thanked""]","[""wants to do this"", ""to be helpful"", ""to have company"", ""to go shopping"", ""buy person clothes"", ""bond""]","[""key"", ""purse"", ""to find PersonY"", ""to bring PersonY to the car"", ""none""]","[""helpful"", ""friendly"", ""helpful"", ""happy and close to person""]","[""reputation"", ""knowledge"", ""to go shopping with PersonY"", ""to have fun with PersonY"", ""to spoil someone"", ""to get new things""]","[""takes"", ""mall""]",trn
PersonX takes PersonY to the movies,"[""they thank them"", ""they see if they want to so something again"", ""watches a movie"", ""eats popcorn"", ""laughs"", ""snuggles"", ""gets ticket"", ""sees film""]","[""thankful to be taken"", ""also happy"", ""satisfied"", ""happy""]","[""to become social"", ""to get to know X better"", ""go out with his/her friend"", ""go to dinner with his/her friend"", ""to express gratitude"", ""to go home""]","[""adventurous"", ""kind"", ""friendly"", ""kind"", ""friendly"", ""considerate"", ""warm""]","[""they get snacks"", ""they watch the movie"", ""watches a movie"", ""eats popcorn"", ""puts arm around person"", ""laughs"", ""makes a movie selection"", ""buys ticket""]","[""their company"", ""to watch something interesting"", ""to see friends"", ""to be friendly""]","[""none"", ""find the movie they want to take the other person to"", ""find a new movie and theater"", ""to find out the listings"", ""to leave the house""]","[""happy"", ""happy because the movie was good"", ""happy""]","[""to socialise"", ""to get to know Y better"", ""take his/her friend out"", ""see a new movie"", ""to order concessions"", ""to go somewhere else"", ""to rest""]","[""takes"", ""movies""]",trn
PersonX takes PersonY to the park,"[""play"", ""run"", ""swing"", ""get to play/walk around at the park"", ""have fun"", ""none""]","[""happy"", ""happy"", ""friendly""]","[""to play ball"", ""to have a picnic"", ""none""]","[""elegant"", ""friendly"", ""friendly"", ""supportive"", ""nurturing"", ""caring""]","[""exercises"", ""enjoys nature"", ""gets some sunshine"", ""interacts with the park equipment"", ""none""]","[""to have fun"", ""to play"", ""to enjoy the outdoors"", ""to spend time with person""]","[""to get his permission"", ""arrange for a vehicle"", ""to be babysitting PersonY"", ""to collect a stroller""]","[""happy"", ""tired"", ""happy"", ""relaxed""]","[""to play ball"", ""to have a picnic"", ""to swing on a swing."", ""to go home.""]","[""takes"", ""park""]",trn
PersonX takes PersonY to the pet store,"[""Get's their pet better"", ""Gets the medication"", ""learns something"", ""finds a good pet""]","[""happy about receiving the gift."", ""excited""]","[""looks for pets they want"", ""to go home with a pet.""]","[""helpful"", ""good"", ""friendly"", ""helpful"", ""helpful"", ""cooperative""]","[""none"", ""none""]","[""to buy him a puppy"", ""to buy something""]","[""to get into the car with PersonY"", ""drives to the petstore with PersonY""]","[""happy about  gifting him."", ""excited""]","[""to look at pets"", ""to buy a pet for PersonY""]","[""takes"", ""pet""]",dev
PersonX takes PersonY to the pound,"[""thanked x"", ""make himself in on collecting memories"", ""whimpers"", ""barks""]","[""anxious too."", ""happy for x""]","[""to go home"", ""get a dog"", ""yelp"", ""cry"", ""to pick out a pet"", ""to look around""]","[""helpful"", ""caring"", ""understanding"", ""compassionate"", ""dominant"", ""motivated""]","[""gather fishing gadjets"", ""get thanked"", ""none""]","[""to find persony's dog."", ""to adopt a pet""]","[""car"", ""gas"", ""get a dog"", ""have a problem"", ""to make plans with PersonY"", ""to get in the car""]","[""anxious."", ""happy with a new animal""]","[""to get a dog"", ""look at the dogs"", ""get another puppy"", ""call vet"", ""to adopt a pet"", ""to show PersonY around""]","[""takes"", ""pound""]",trn
PersonX takes PersonY to the shelter,"[""got safety"", ""gets some comfort"", ""gets a place to sleep."", ""gets food to eat.""]","[""safe, relieved"", ""worried"", ""eager"", ""supported""]","[""none"", ""give thanks"", ""repay them""]","[""sympathetic"", ""supportive"", ""helpful"", ""thoughtful""]","[""none"", ""none""]","[""persony to be safe"", ""to feel they've protected persony"", ""friendship"", ""to be helpful""]","[""get ready to go"", ""to leave their old place"", ""to be asked"", ""to have a car""]","[""relieved"", ""happy"", ""happy to help""]","[""to stay"", ""to meet people"", ""drive home"", ""get gas money""]","[""takes"", ""shelter""]",trn
PersonX takes PersonY to the station,"[""boards a train"", ""buys ticket"", ""They wave personX off."", ""They check the timetable for the next bus/train."", ""They book themselves a ticket."", ""files a report"", ""gets locked in jail""]","[""happy"", ""grateful"", ""relieved""]","[""to thank PersonX"", ""to get on the train"", ""thank person x"", ""bid a fond farewell to person x"", ""catch their train or bus""]","[""obliging"", ""helpful"", ""giving"", ""friendly"", ""wistful"", ""sorrowful""]","[""parks car in parking"", ""comes back home"", ""They get their bag out of the boot and give to personY."", ""They wave personY off."", ""They drive away."", ""gets tired from driving"", ""meets people""]","[""be helpful"", ""to be a good friend"", ""help out persony""]","[""to pick up PersonY"", ""to drive to the station"", ""ask person y when he needs to be there"", ""put gas in car"", ""find keys"", ""pick up person y""]","[""useful"", ""happy"", ""helpful"", ""loyal""]","[""to drop of PersonY"", ""to say goodbye"", ""help person y with their luggage"", ""bid a fond farewell to person y""]","[""takes"", ""station""]",dev
PersonX takes PersonY to the store,"[""say thank you"", ""go shopping"", ""picks something out"", ""pushes the cart"", ""Person Y goes shopping."", ""Person Y spends money.""]","[""grateful"", ""happy"", ""happy that x took them""]","[""to shop"", ""to express thanks"", ""to thank personx"", ""to have conversation with personx"", ""none""]","[""shopping"", ""responsible"", ""generous"", ""helpful"", ""generous"", ""kind"", ""helpful""]","[""socializes"", ""receives thanks"", ""pays for things"", ""parks the car"", ""waits patiently"", ""perhaps spends money""]","[""to be helpful"", ""help person out.""]","[""drive"", ""invite person Y"", ""none"", ""pick Y up"", ""get in the car""]","[""helpful"", ""needed"", ""happy that they could help a friend""]","[""shop"", ""drive person Y home"", ""to shop for items they need"", ""to see if there is anything they need"", ""to sit in the car and wait"", ""to shop""]","[""takes"", ""store""]",trn
PersonX takes PersonY to the vet,"[""none"", ""none""]","[""relieved."", ""grateful."", ""thankful."", ""grateful"", ""happy""]","[""none"", ""to get medical advice"", ""to return home""]","[""generous"", ""helpful"", ""helpful"", ""cooperative"", ""caring"", ""helpful""]","[""to takes to the vet"", ""to vet the crinder"", ""asks a question"", ""talks to nurse""]","[""to help with the person's pet."", ""to be helpful"", ""give person a ride to pick up pet"", ""give person a ride to take their pet to the doctor""]","[""pick up person Y"", ""put the dog in the car"", ""make an appointment"", ""drive to the office""]","[""glad to help."", ""like he helped someone."", ""happy"", ""satisfied""]","[""get dog checked"", ""bring animal home to rest"", ""get advice"", ""get medical care""]","[""takes"", ""vet""]",trn
PersonX takes PersonY to the veterinarian,"[""pet receives care"", ""pet is healthy""]","[""healed"", ""relief"", ""better""]","[""to get their dog"", ""to see their pet"", ""to tell PersonX they are grateful"", ""to repay the favor"", ""to check if PersonY is fine"", ""to get paid""]","[""helpful"", ""protective"", ""kind"", ""caring"", ""helpful"", ""reliable""]","[""is thanked"", ""runs out of gas""]","[""none"", ""to help them get well""]","[""to get in the car"", ""to pickup person y"", ""to drive to the office"", ""to pick up PersonY"", ""to get PersonY"", ""to bring PersonY to the car""]","[""relief"", ""relieved"", ""happy""]","[""to sit with person y"", ""to pay the vet bill"", ""to help PersonY with their dog"", ""to support PersonY while putting down the dog"", ""to wait for the vet"", ""to let the vet do their job"", ""to pay the vet""]","[""takes"", ""veterinarian""]",trn
PersonX takes PersonY to the zoo,"[""Watches the bears"", ""Watches the lions"", ""none"", ""Sees penguin"", ""Walks the zoo""]","[""excited"", ""happy"", ""entertained"", ""wanted""]","[""to thank PersonX"", ""to ask PersonX questions about animals"", ""to look at animals"", ""to express gratitude"", ""to go back home"", ""to have lunch""]","[""generous"", ""caring"", ""giving"", ""friendly"", ""fun"", ""adventurous""]","[""none"", ""PersonX buys a ticket"", ""PersonX sees the giraffes"", ""Sees penguin"", ""Walks""]","[""to have fun"", ""to see animals"", ""to make person happy"", ""to be nice"", ""give a gift""]","[""to make PersonY wear shoes"", ""to buy the tickets for the zoo"", ""to wear a coat"", ""to ask for permission"", ""to drive to the zoo""]","[""happy"", ""content"", ""happy"", ""useful"", ""generous""]","[""have some icecream"", ""take pictures and send them to family"", ""to look at animals"", ""to eat lunch"", ""to go back home""]","[""takes"", ""zoo""]",trn
PersonX takes PersonY to work,"[""change locations"", ""are exposed to PersonX"", ""arrive on time"", ""avoid tardiness penalties"", ""have transportation"", ""have company""]","[""grateful."", ""grateful"", ""useful"", ""worried"", ""appreciative""]","[""to thank personX for the lift"", ""to go into work."", ""to do their work"", ""to get a lift home"", ""start work"", ""leave car"", ""none""]","[""clever"", ""odd"", ""ambitious, conscientious"", ""confident""]","[""travels to a new place"", ""is exposed to PersonY"", ""none"", ""has company on a trip"", ""has someone to talk with""]","[""to help his friend."", ""help the environment"", ""to help out"", ""it is expected"", ""to be helpful""]","[""to make arrangements with personY"", ""to drive to personY's house"", ""to buzz the doorbell to alert personY of their presence"", ""to have a car"", ""to be asked by personY"", ""drive to PersonY's house"", ""get in car"", ""wake up"", ""means of transport"", ""vehicle"", ""to be able to drive"", ""to pick Y up""]","[""happy."", ""useful"", ""satisfied"", ""obligated"", ""good, useful""]","[""to leave off personY at work"", ""to wave personY off"", ""to drive away"", ""to carry on with their day"", ""to go to work too"", ""to finish up their day"", ""go to work"", ""go shopping"", ""to help him"", ""to save  Y's time""]","[""takes"", ""work""]",trn
PersonX takes PersonY turn,"[""screams"", ""cries"", ""gets delayed"", ""waits longer""]","[""cheated"", ""mad"", ""angry"", ""disappointed"", ""grateful""]","[""thanks person x"", ""plays person x's turn next"", ""call out PersonX"", ""fight PersonX"", ""to get their chance"", ""to have fun""]","[""impatient"", ""unfair"", ""patient"", ""orderly"", ""mean"", ""greedy""]","[""yelled at"", ""pushed"", ""gets yelled at"", ""receives criticism""]","[""to cheat"", ""to go first"", ""to go first than y"", ""to help y with a task because he/she can't be there at that time.""]","[""ask person y to take turn"", ""see if others are ok with person x taking turn"", ""cut the line"", ""ignore PersonY"", ""to be waiting"", ""for personY not to be able to take their turn""]","[""like a cheater"", ""superior"", ""ashamed"", ""helpful""]","[""takes turn and plays"", ""talks with person y about taking other turns"", ""act quickly before PersonY realizes"", ""sneak away"", ""to finish"", ""to make sure personY has a chance""]","[""takes"", ""turn""]",trn
PersonX takes PersonY two hours,"[""are moved"", ""are relocated"", ""are delayed."", ""are subject to X.""]","[""tired""]","[""to spend time with PersonX"", ""to have a good time"", ""to apologies"", ""to rest""]","[""clumsy"", ""complicated"", ""unassuming"", ""accessible"", ""patient"", ""caring""]","[""travels"", ""goes somewhere"", ""takes someone's time."", ""monopolizes energy.""]","[""none""]","[""none"", ""none"", ""to person y"", ""to some person""]","[""knowledgeable""]","[""to spend time with PersonY"", ""for PersonY to have a good time"", ""to go home"", ""to relax""]","[""takes"", ""two""]",trn
PersonX takes PersonY up on the offer,"[""has someone to drive with"", ""gets a home watcher"", ""none""]","[""companionable"", ""none""]","[""to thank PersonX"", ""to promise PersonX they won't regret"", ""to shake PersonX's hands"", ""to walk away with what they accepted"", ""to impress PersonX"", ""to have them as a partner.""]","[""agreeable"", ""accepting"", ""clever"", ""smart"", ""agreeable"", ""curious""]","[""is given a ride home"", ""stays in the basement for free"", ""gets something in return"", ""learns what to do""]","[""to do something with person y"", ""to get a good deal""]","[""to talk to PersonY"", ""to get a good deal from PersonY"", ""to listen to PersonY"", ""to consider PersonY's offer"", ""to hear the offer."", ""to be interested in the offer.""]","[""neighborly"", ""accomplished"", ""happya""]","[""to sign an agreement with PersonY"", ""to ask PersonY what's in it for them"", ""to shake PersonY's hands"", ""to walk away with what they accepted"", ""to learn the details."", ""to make money.""]","[""takes"", ""offer""]",tst
